ano;mes;id;tamano;categoria;sexo;grupo;division;ro_t_1;ho_t_1;c_t_1;ht_t_1;ro;ho;c;ht
2022;9;957;2;C;2;4;6;828583;194;1006550;217;828583;194;1019958;219
2022;9;957;2;C;2;5;6;;;;;;;;
2022;9;957;2;C;2;6;6;;;;;;;;
2022;9;957;2;C;2;7;6;;;;;;;;
2022;9;957;2;C;2;8;6;83187987;21033;95930677;21615;74268204;19924;86892825;20668
2022;9;957;2;C;2;9;6;;;;;;;;
2022;9;961;3;C;1;1;1;16132975;360;16468764;360;16175272;358;16526781;358
2022;9;961;3;C;1;2;1;;;;;;;;
2022;9;961;3;C;1;3;1;;;;;;;;
2022;9;961;3;C;1;4;1;;;;;;;;
2022;9;961;3;C;1;5;1;58322143;3439;60085447;3439;61102314;3498;63593542;3546
2022;9;961;3;C;1;6;1;;;;;;;;
2022;9;961;3;C;1;7;1;22256907;2551;24425437;2558;21735173;2490;23699965;2490
2022;9;961;3;C;1;8;1;11926826;1250;12656922;1250;11995098;1246;12813813;1246
2022;9;961;3;C;1;9;1;4758928;685;5792157;730;4704677;676;5733960;722
2022;9;961;3;C;2;1;1;80137880;1268;81628740;1268;80706435;1265;82386867;1265
2022;9;961;3;C;2;2;1;1309502;185;1453010;185;1326359;186;1470385;186
2022;9;961;3;C;2;3;1;;;;;;;;
2022;9;961;3;C;2;4;1;;;;;;;;
2022;9;961;3;C;2;5;1;95316448;5749;101508422;5862;95147189;5672;103996689;5918
2022;9;961;3;C;2;6;1;;;;;;;;
2022;9;961;3;C;2;7;1;160189902;16403;201707875;17993;161973806;16389;203491052;17822
2022;9;961;3;C;2;8;1;121016363;8926;130748130;9117;123864574;8950;134500101;9090
2022;9;961;3;C;2;9;1;190512561;32910;238408570;35254;191279641;33134;239318356;35241
2022;9;967;3;C;1;1;1;28123361;1548;29549798;1548;29940945;1548;31432256;1548
2022;9;967;3;C;1;2;1;;;;;;;;
2022;9;967;3;C;1;3;1;24422308;3270;27592434;3331;25718868;3200;29084494;3256
2022;9;967;3;C;1;4;1;47252198;9495;56556807;9701;49306491;9714;60997611;10017
2022;9;967;3;C;1;5;1;;;;;;;;
2022;9;967;3;C;1;6;1;;;;;;;;
2022;9;967;3;C;1;7;1;35955909;7695;40970881;7778;35183441;7153;40982159;7205
2022;9;967;3;C;1;8;1;;;;;;;;
2022;9;967;3;C;1;9;1;21000363;4793;24839863;4936;22533400;5440;27571317;5674
2022;9;967;3;C;2;1;1;127112436;5805;133311951;5805;136907234;6192;143554323;6192
2022;9;967;3;C;2;2;1;;;;;;;;
2022;9;967;3;C;2;3;1;139018446;16490;157385807;17004;173323317;16858;195397667;17376
2022;9;967;3;C;2;4;1;62766445;9049;70947782;9229;67233426;9056;76962924;9270
2022;9;967;3;C;2;5;1;;;;;;;;
2022;9;967;3;C;2;6;1;;;;;;;;
2022;9;967;3;C;2;7;1;181110042;38016;205203456;38492;199825398;37778;229637751;38386
2022;9;967;3;C;2;8;1;;;;;;;;
2022;9;967;3;C;2;9;1;173370593;40657;206223570;41748;193996837;43918;233922020;45391
2022;9;971;3;C;1;1;1;;;;;;;;
2022;9;971;3;C;1;2;1;8307624;774;10121483;823;8300094;748;9870831;784
2022;9;971;3;C;1;3;1;14049593;1993;17554967;2089;11513418;1754;14292457;1832
2022;9;971;3;C;1;4;1;34040878;3922;39389053;4030;34161219;3818;39182255;3902
2022;9;971;3;C;1;5;1;;;;;;;;
2022;9;971;3;C;1;6;1;2089060;581;3177908;689;2089060;581;3282176;706
2022;9;971;3;C;1;7;1;85700214;24226;129755620;27033;90534476;25671;125307174;27588
2022;9;971;3;C;1;8;1;;;;;;;;
2022;9;971;3;C;1;9;1;1777064;387;2199876;394;1120212;194;1380175;197
2022;9;971;3;C;2;1;1;72908039;1742;75786684;1742;73212762;1742;76230927;1742
2022;9;971;3;C;2;2;1;49877745;3419;58163308;3562;51182958;3483;57942239;3546
2022;9;971;3;C;2;3;1;60333533;7830;71536393;8138;62003605;7875;71863013;8078
2022;9;971;3;C;2;4;1;13923513;2483;18156759;2646;15478379;2709;19392665;2822
2022;9;971;3;C;2;5;1;;;;;;;;
2022;9;971;3;C;2;6;1;5030679;1161;7556108;1389;5041574;1161;8223966;1469
2022;9;971;3;C;2;7;1;175974312;46756;268421473;52747;181059040;48691;246924492;51957
2022;9;971;3;C;2;8;1;53591233;11913;70512759;12584;55108668;12152;75544080;13263
2022;9;971;3;C;2;9;1;10679450;2258;15005872;2595;10776444;2322;14611933;2560
2022;9;976;3;C;1;1;1;;;;;;;;
2022;9;976;3;C;1;2;1;24475921;2083;26133753;2104;23679053;1967;25437774;1985
2022;9;976;3;C;1;3;1;11452561;1677;12847679;1755;11719454;1742;13210609;1833
2022;9;976;3;C;1;4;1;4383891;580;4612062;580;4383891;580;4623043;580
2022;9;976;3;C;1;5;1;;;;;;;;
2022;9;976;3;C;1;6;1;;;;;;;;
2022;9;976;3;C;1;7;1;2544520;580;2827470;606;2562520;580;2815574;598
2022;9;976;3;C;1;8;1;;;;;;;;
2022;9;976;3;C;1;9;1;;;;;;;;
2022;9;976;3;C;2;1;1;87557016;1548;88811230;1548;87557016;1548;88826302;1548
2022;9;976;3;C;2;2;1;128652434;8830;140870446;9290;124670413;8746;136813823;9101
2022;9;976;3;C;2;3;1;74275222;10926;86906165;11759;77372865;11268;90396907;12061
2022;9;976;3;C;2;4;1;7765362;774;9215466;837;7786362;774;8932694;817
2022;9;976;3;C;2;5;1;;;;;;;;
2022;9;976;3;C;2;6;1;;;;;;;;
2022;9;976;3;C;2;7;1;143668687;25748;165432903;27616;143414560;26122;162341402;27589
2022;9;976;3;C;2;8;1;;;;;;;;
2022;9;976;3;C;2;9;1;;;;;;;;
2022;9;987;2;C;1;1;4;;;;;;;;
